admode nboctets nbopcodes opcode1 opcode2 nbdata data1 data2 data3 data4 data5 mnemonic
5 2 1 00000068 FFFFFFFF 1 4 -1 -1 -1 -1 LSL
6 3 1 00000068 FFFFFFFF 2 4 6 -1 -1 -1 LSL
7 4 1 00000068 FFFFFFFF 3 4 5 6 -1 -1 LSL
9 2 1 00000068 FFFFFFFF 1 4 -1 -1 -1 -1 LSL
8 4 1 00000068 FFFFFFFF 3 4 5 6 -1 -1 LSL
0 1 1 00000048 FFFFFFFF 0 -1 -1 -1 -1 -1 LSLA
0 1 1 00000058 FFFFFFFF 0 -1 -1 -1 -1 -1 LSLB
0 1 1 00000059 FFFFFFFF 0 -1 -1 -1 -1 -1 LSLD
3 3 1 00000074 FFFFFFFF 2 2 3 -1 -1 -1 LSR
5 2 1 00000064 FFFFFFFF 1 4 -1 -1 -1 -1 LSR
6 3 1 00000064 FFFFFFFF 2 4 6 -1 -1 -1 LSR
7 4 1 00000064 FFFFFFFF 3 4 5 6 -1 -1 LSR
9 2 1 00000064 FFFFFFFF 1 4 -1 -1 -1 -1 LSR
8 4 1 00000064 FFFFFFFF 3 4 5 6 -1 -1 LSR
0 1 1 00000044 FFFFFFFF 0 -1 -1 -1 -1 -1 LSRA
0 1 1 00000054 FFFFFFFF 0 -1 -1 -1 -1 -1 LSRB
0 1 1 00000049 FFFFFFFF 0 -1 -1 -1 -1 -1 LSRD
5 3 2 00000018 00000018 1 4 -1 -1 -1 -1 MAXA
6 4 2 00000018 00000018 2 4 6 -1 -1 -1 MAXA
7 5 2 00000018 00000018 3 4 5 6 -1 -1 MAXA
9 3 2 00000018 00000018 1 4 -1 -1 -1 -1 MAXA
8 5 2 00000018 00000018 3 4 5 6 -1 -1 MAXA
5 3 2 00000018 0000001C 1 4 -1 -1 -1 -1 MAXM
6 4 2 00000018 0000001C 2 4 6 -1 -1 -1 MAXM
7 5 2 00000018 0000001C 3 4 5 6 -1 -1 MAXM
9 3 2 00000018 0000001C 1 4 -1 -1 -1 -1 MAXM
8 5 2 00000018 0000001C 3 4 5 6 -1 -1 MAXM
5 3 2 00000018 00000019 1 4 -1 -1 -1 -1 MINA
6 4 2 00000018 00000019 2 4 6 -1 -1 -1 MINA
7 5 2 00000018 00000019 3 4 5 6 -1 -1 MINA
9 3 2 00000018 00000019 1 4 -1 -1 -1 -1 MINA
8 5 2 00000018 00000019 3 4 5 6 -1 -1 MINA
5 3 2 00000018 0000001D 1 4 -1 -1 -1 -1 MINM
6 4 2 00000018 0000001D 2 4 6 -1 -1 -1 MINM
7 5 2 00000018 0000001D 3 4 5 6 -1 -1 MINM
9 3 2 00000018 0000001D 1 4 -1 -1 -1 -1 MINM
8 5 2 00000018 0000001D 3 4 5 6 -1 -1 MINM
0 1 1 00000012 FFFFFFFF 0 -1 -1 -1 -1 -1 MUL
3 3 1 00000070 FFFFFFFF 2 2 3 -1 -1 -1 NEG
5 2 1 00000060 FFFFFFFF 1 4 -1 -1 -1 -1 NEG
6 3 1 00000060 FFFFFFFF 2 4 6 -1 -1 -1 NEG
7 4 1 00000060 FFFFFFFF 3 4 5 6 -1 -1 NEG
9 2 1 00000060 FFFFFFFF 1 4 -1 -1 -1 -1 NEG
8 4 1 00000060 FFFFFFFF 3 4 5 6 -1 -1 NEG
0 1 1 00000040 FFFFFFFF 0 -1 -1 -1 -1 -1 NEGA
0 1 1 00000050 FFFFFFFF 0 -1 -1 -1 -1 -1 NEGB
0 1 1 000000A7 FFFFFFFF 0 -1 -1 -1 -1 -1 NOP
1 2 1 0000008A FFFFFFFF 1 0 -1 -1 -1 -1 ORAA
2 2 1 0000009A FFFFFFFF 1 1 -1 -1 -1 -1 ORAA
3 3 1 000000BA FFFFFFFF 2 2 3 -1 -1 -1 ORAA
5 2 1 000000AA FFFFFFFF 1 4 -1 -1 -1 -1 ORAA
6 3 1 000000AA FFFFFFFF 2 4 6 -1 -1 -1 ORAA
7 4 1 000000AA FFFFFFFF 3 4 5 6 -1 -1 ORAA
9 2 1 000000AA FFFFFFFF 1 4 -1 -1 -1 -1 ORAA
8 4 1 000000AA FFFFFFFF 3 4 5 6 -1 -1 ORAA
1 2 1 000000CA FFFFFFFF 1 0 -1 -1 -1 -1 ORAB
2 2 1 000000DA FFFFFFFF 1 1 -1 -1 -1 -1 ORAB
3 3 1 000000FA FFFFFFFF 2 2 3 -1 -1 -1 ORAB
5 2 1 000000EA FFFFFFFF 1 4 -1 -1 -1 -1 ORAB
6 3 1 000000EA FFFFFFFF 2 4 6 -1 -1 -1 ORAB
7 4 1 000000EA FFFFFFFF 3 4 5 6 -1 -1 ORAB
9 2 1 000000EA FFFFFFFF 1 4 -1 -1 -1 -1 ORAB
8 4 1 000000EA FFFFFFFF 3 4 5 6 -1 -1 ORAB
1 2 1 00000014 FFFFFFFF 1 0 -1 -1 -1 -1 ORCC
0 1 1 00000036 FFFFFFFF 0 -1 -1 -1 -1 -1 PSHA
0 1 1 00000037 FFFFFFFF 0 -1 -1 -1 -1 -1 PSHB
0 1 1 00000039 FFFFFFFF 0 -1 -1 -1 -1 -1 PSHC
0 1 1 0000003B FFFFFFFF 0 -1 -1 -1 -1 -1 PSHD
0 1 1 00000034 FFFFFFFF 0 -1 -1 -1 -1 -1 PSHX
0 1 1 00000035 FFFFFFFF 0 -1 -1 -1 -1 -1 PSHY
0 1 1 00000032 FFFFFFFF 0 -1 -1 -1 -1 -1 PULA
0 1 1 00000033 FFFFFFFF 0 -1 -1 -1 -1 -1 PULB
0 1 1 00000038 FFFFFFFF 0 -1 -1 -1 -1 -1 PULC
0 1 1 0000003A FFFFFFFF 0 -1 -1 -1 -1 -1 PULD
0 1 1 00000030 FFFFFFFF 0 -1 -1 -1 -1 -1 PULX
0 1 1 00000031 FFFFFFFF 0 -1 -1 -1 -1 -1 PULY
3 3 1 00000075 FFFFFFFF 2 2 3 -1 -1 -1 ROL
5 2 1 00000065 FFFFFFFF 1 4 -1 -1 -1 -1 ROL
6 3 1 00000065 FFFFFFFF 2 4 6 -1 -1 -1 ROL
7 4 1 00000065 FFFFFFFF 3 4 5 6 -1 -1 ROL
9 2 1 00000065 FFFFFFFF 1 4 -1 -1 -1 -1 ROL
8 4 1 00000065 FFFFFFFF 3 4 5 6 -1 -1 ROL
0 1 1 00000045 FFFFFFFF 0 -1 -1 -1 -1 -1 ROLA
0 1 1 00000055 FFFFFFFF 0 -1 -1 -1 -1 -1 ROLB
3 3 1 00000076 FFFFFFFF 2 2 3 -1 -1 -1 ROR
5 2 1 00000066 FFFFFFFF 1 4 -1 -1 -1 -1 ROR
6 3 1 00000066 FFFFFFFF 2 4 6 -1 -1 -1 ROR
7 4 1 00000066 FFFFFFFF 3 4 5 6 -1 -1 ROR
9 2 1 00000066 FFFFFFFF 1 4 -1 -1 -1 -1 ROR
8 4 1 00000066 FFFFFFFF 3 4 5 6 -1 -1 ROR
0 1 1 00000046 FFFFFFFF 0 -1 -1 -1 -1 -1 RORA
0 1 1 00000056 FFFFFFFF 0 -1 -1 -1 -1 -1 RORB
0 1 1 0000000A FFFFFFFF 0 -1 -1 -1 -1 -1 RTC
0 1 1 0000000B FFFFFFFF 0 -1 -1 -1 -1 -1 RTI
0 1 1 0000003D FFFFFFFF 0 -1 -1 -1 -1 -1 RTS
0 2 2 00000018 00000016 0 -1 -1 -1 -1 -1 SBA
1 2 1 00000082 FFFFFFFF 1 0 -1 -1 -1 -1 SBCA
2 2 1 00000092 FFFFFFFF 1 1 -1 -1 -1 -1 SBCA
3 3 1 000000B2 FFFFFFFF 2 2 3 -1 -1 -1 SBCA
5 2 1 000000A2 FFFFFFFF 1 4 -1 -1 -1 -1 SBCA
6 3 1 000000A2 FFFFFFFF 2 4 6 -1 -1 -1 SBCA
7 4 1 000000A2 FFFFFFFF 3 4 5 6 -1 -1 SBCA
9 2 1 000000A2 FFFFFFFF 1 4 -1 -1 -1 -1 SBCA
8 4 1 000000A2 FFFFFFFF 3 4 5 6 -1 -1 SBCA
1 2 1 000000C2 FFFFFFFF 1 0 -1 -1 -1 -1 SBCB
2 2 1 000000D2 FFFFFFFF 1 1 -1 -1 -1 -1 SBCB
3 3 1 000000F2 FFFFFFFF 2 2 3 -1 -1 -1 SBCB
5 2 1 000000E2 FFFFFFFF 1 4 -1 -1 -1 -1 SBCB
6 3 1 000000E2 FFFFFFFF 2 4 6 -1 -1 -1 SBCB
7 4 1 000000E2 FFFFFFFF 3 4 5 6 -1 -1 SBCB
9 2 1 000000E2 FFFFFFFF 1 4 -1 -1 -1 -1 SBCB
8 4 1 000000E2 FFFFFFFF 3 4 5 6 -1 -1 SBCB
2 2 1 0000005A FFFFFFFF 1 1 -1 -1 -1 -1 STAA
3 3 1 0000007A FFFFFFFF 2 2 3 -1 -1 -1 STAA
5 2 1 0000006A FFFFFFFF 1 4 -1 -1 -1 -1 STAA
6 3 1 0000006A FFFFFFFF 2 4 6 -1 -1 -1 STAA
7 4 1 0000006A FFFFFFFF 3 4 5 6 -1 -1 STAA
9 2 1 0000006A FFFFFFFF 1 4 -1 -1 -1 -1 STAA
8 4 1 0000006A FFFFFFFF 3 4 5 6 -1 -1 STAA
2 2 1 0000005B FFFFFFFF 1 1 -1 -1 -1 -1 STAB
3 3 1 0000007B FFFFFFFF 2 2 3 -1 -1 -1 STAB
5 2 1 0000006B FFFFFFFF 1 4 -1 -1 -1 -1 STAB
6 3 1 0000006B FFFFFFFF 2 4 6 -1 -1 -1 STAB
7 4 1 0000006B FFFFFFFF 3 4 5 6 -1 -1 STAB
9 2 1 0000006B FFFFFFFF 1 4 -1 -1 -1 -1 STAB
8 4 1 0000006B FFFFFFFF 3 4 5 6 -1 -1 STAB
2 2 1 0000005C FFFFFFFF 1 1 -1 -1 -1 -1 STD
3 3 1 0000007C FFFFFFFF 2 2 3 -1 -1 -1 STD
5 2 1 0000006C FFFFFFFF 1 4 -1 -1 -1 -1 STD
6 3 1 0000006C FFFFFFFF 2 4 6 -1 -1 -1 STD
7 4 1 0000006C FFFFFFFF 3 4 5 6 -1 -1 STD
9 2 1 0000006C FFFFFFFF 1 4 -1 -1 -1 -1 STD
8 4 1 0000006C FFFFFFFF 3 4 5 6 -1 -1 STD
0 2 2 00000018 0000003E 0 -1 -1 -1 -1 -1 STOP
2 2 1 0000005F FFFFFFFF 1 1 -1 -1 -1 -1 STS
3 3 1 0000007F FFFFFFFF 2 2 3 -1 -1 -1 STS
5 2 1 0000006F FFFFFFFF 1 4 -1 -1 -1 -1 STS
6 3 1 0000006F FFFFFFFF 2 4 6 -1 -1 -1 STS
7 4 1 0000006F FFFFFFFF 3 4 5 6 -1 -1 STS
9 2 1 0000006F FFFFFFFF 1 4 -1 -1 -1 -1 STS
8 4 1 0000006F FFFFFFFF 3 4 5 6 -1 -1 STS
2 2 1 0000005E FFFFFFFF 1 1 -1 -1 -1 -1 STX
3 3 1 0000007E FFFFFFFF 2 2 3 -1 -1 -1 STX
5 2 1 0000006E FFFFFFFF 1 4 -1 -1 -1 -1 STX
6 3 1 0000006E FFFFFFFF 2 4 6 -1 -1 -1 STX
7 4 1 0000006E FFFFFFFF 3 4 5 6 -1 -1 STX
9 2 1 0000006E FFFFFFFF 1 4 -1 -1 -1 -1 STX
8 4 1 0000006E FFFFFFFF 3 4 5 6 -1 -1 STX
2 2 1 0000005D FFFFFFFF 1 1 -1 -1 -1 -1 STY
3 3 1 0000007D FFFFFFFF 2 2 3 -1 -1 -1 STY
5 2 1 0000006D FFFFFFFF 1 4 -1 -1 -1 -1 STY
6 3 1 0000006D FFFFFFFF 2 4 6 -1 -1 -1 STY
7 4 1 0000006D FFFFFFFF 3 4 5 6 -1 -1 STY
9 2 1 0000006D FFFFFFFF 1 4 -1 -1 -1 -1 STY
8 4 1 0000006D FFFFFFFF 3 4 5 6 -1 -1 STY
1 2 1 00000080 FFFFFFFF 1 0 -1 -1 -1 -1 SUBA
2 2 1 00000090 FFFFFFFF 1 1 -1 -1 -1 -1 SUBA
3 3 1 000000B0 FFFFFFFF 2 2 3 -1 -1 -1 SUBA
5 2 1 000000A0 FFFFFFFF 1 4 -1 -1 -1 -1 SUBA
6 3 1 000000A0 FFFFFFFF 2 4 6 -1 -1 -1 SUBA
7 4 1 000000A0 FFFFFFFF 3 4 5 6 -1 -1 SUBA
9 2 1 000000A0 FFFFFFFF 1 4 -1 -1 -1 -1 SUBA
8 4 1 000000A0 FFFFFFFF 3 4 5 6 -1 -1 SUBA
1 2 1 000000C0 FFFFFFFF 1 0 -1 -1 -1 -1 SUBB
2 2 1 000000D0 FFFFFFFF 1 1 -1 -1 -1 -1 SUBB
3 3 1 000000F0 FFFFFFFF 2 2 3 -1 -1 -1 SUBB
5 2 1 000000E0 FFFFFFFF 1 4 -1 -1 -1 -1 SUBB
6 3 1 000000E0 FFFFFFFF 2 4 6 -1 -1 -1 SUBB
7 4 1 000000E0 FFFFFFFF 3 4 5 6 -1 -1 SUBB
9 2 1 000000E0 FFFFFFFF 1 4 -1 -1 -1 -1 SUBB
8 4 1 000000E0 FFFFFFFF 3 4 5 6 -1 -1 SUBB
1 3 1 00000083 FFFFFFFF 2 7 8 -1 -1 -1 SUBD
2 2 1 00000093 FFFFFFFF 1 1 -1 -1 -1 -1 SUBD
3 3 1 000000B3 FFFFFFFF 2 2 3 -1 -1 -1 SUBD
5 2 1 000000A3 FFFFFFFF 1 4 -1 -1 -1 -1 SUBD
6 3 1 000000A3 FFFFFFFF 2 4 6 -1 -1 -1 SUBD
7 4 1 000000A3 FFFFFFFF 3 4 5 6 -1 -1 SUBD
9 2 1 000000A3 FFFFFFFF 1 4 -1 -1 -1 -1 SUBD
8 4 1 000000A3 FFFFFFFF 3 4 5 6 -1 -1 SUBD
0 1 1 0000003F FFFFFFFF 0 -1 -1 -1 -1 -1 SWI
0 2 2 00000018 0000000E 0 -1 -1 -1 -1 -1 TAB
0 2 2 000000B7 00000002 0 -1 -1 -1 -1 -1 TAP
0 2 2 00000018 0000000F 0 -1 -1 -1 -1 -1 TBA
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 TBEQ
5 3 2 00000018 0000003D 1 4 -1 -1 -1 -1 TBL
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 TBNE
0 2 2 000000B7 00000020 0 -1 -1 -1 -1 -1 TPA
3 3 1 000000F7 FFFFFFFF 2 2 3 -1 -1 -1 TST
5 2 1 000000E7 FFFFFFFF 1 4 -1 -1 -1 -1 TST
6 3 1 000000E7 FFFFFFFF 2 4 6 -1 -1 -1 TST
7 4 1 000000E7 FFFFFFFF 3 4 5 6 -1 -1 TST
9 2 1 000000E7 FFFFFFFF 1 4 -1 -1 -1 -1 TST
8 4 1 000000E7 FFFFFFFF 3 4 5 6 -1 -1 TST
0 1 1 00000097 FFFFFFFF 0 -1 -1 -1 -1 -1 TSTA
0 1 1 000000D7 FFFFFFFF 0 -1 -1 -1 -1 -1 TSTB
0 2 2 000000B7 00000075 0 -1 -1 -1 -1 -1 TSX
0 2 2 000000B7 00000076 0 -1 -1 -1 -1 -1 TSY
0 2 2 000000B7 00000057 0 -1 -1 -1 -1 -1 TXS
0 2 2 000000B7 00000067 0 -1 -1 -1 -1 -1 TYS
0 1 1 0000003E FFFFFFFF 0 -1 -1 -1 -1 -1 WAI
0 2 2 000000B7 000000C5 0 -1 -1 -1 -1 -1 XGDX
0 2 2 000000B7 000000C6 0 -1 -1 -1 -1 -1 XGDY
